name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,metric_002,metric_003,metric_004,notes,exclude,,,firstsource,secondsource,thirdsource,,,,,,,,,,,,,,,,,,,,
Food,alternative name,EVIDENCE,condition,HEALTH CONDITION,TYPE,One to watch,POPULARITY,NO OF STUDIES WE EXAMINED,SCIENTIFIC INTEREST,UNUSED,notes,Exclude,,notes,Cochrane systematic review,Other International review board or metastudy,Link to main individual study,no. of studies in Cochrane metastudy,% positive studies / trials,no. of studies in metastudy,year(s) of metastudy,No. of individual studies / reviews,N positive studies / trials,main study source,,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,Link to individual study,,
"0 = no evidence, 1,2 = slight, 3 = conflicting or moderate, 4 = promising, 5 = good, 6 = strong ",,our score (the higher the better),appears inside the bubble,the type of condition,what type of substance is this?,few studies / trials but positive potential,"square root of google hits (used to scale the bubbles) - ""food + health""",can also mean no data on no. of papers in a review,"square root of Google Scholar hits - ""food + health""",,every day language,Show this item in the viz?,,medical language,,,,,,,," (i.e, those that are not systematic or other reviews). ",N trials showing benefit in areas tested (p<.05). 0.5 = significant results in some areas but not others,,,,,,,,,,,,,,
açaí berry,,0,cancer prevention,cancer,fruit,,4382,0,28,,"No human trials. Cell studies show strong anti-oxidant effects - but that's a long way from being ""anti-cancer"" in humans.",,,"No human trials, but in vitro studies suggest acai berries exhibit significantly high antioxidant capacity in vitro, and therefore may have possible health benefits.",,,,,,,,0,,No human trials,,in vitro studies:,http://pubs.acs.org/doi/abs/10.1021/jf0609779?journalCode=jafcau,http://www.ncbi.nlm.nih.gov/pubmed/21386979,,,,,,,,,
açaí berry,,0,weight control,general health,fruit,,4382,0,28,,Acai berries are widely marketed for weight loss despite no definitive scientific evidence.,,,,,,http://nccam.nih.gov/health/acai,,,,,,,National Institutes of Health,,,,,,,,,,,,,
alfalfa,,0,"general health, cardio","general health, cardio",vegetable,OTW,3089,0,152,,"Showing some potential, especially for cardiovascular health. No evidence as yet.",,,"2011: Medicago sativa (alfalfa) seems to hold great potential for in-depth investigation for various biological activities, especially their effects on central nervous and cardiovascular system. ",,http://www.ncbi.nlm.nih.gov/pubmed/20969516,,,,,2011,0,,Bora and Sharma 2011,,,,,,,,,,,,,
almonds,,5,"cholesterol, general health","cardio, general health",nut / seed,,3782,11,131,," Almonds consistently lower ""bad"" (LDL) cholestrol in healthy individuals, and those with high cholesterol and diabetes. (Berryman et al 2011)",,,"Consumption of tree nuts has been shown to reduce low-density lipoprotein cholesterol (LDL-C), a primary target for coronary disease prevention, by 3-19%. Almonds have been found to have a consistent LDL-C-lowering effect in healthy individuals, and in individuals with high cholesterol and diabetes. (Berryman et al 2011)",,http://www.ncbi.nlm.nih.gov/pubmed/22153059,http://www.jacn.org/content/17/3/285.long,,100%,,2011,11,11,Bolling et al 2011,,http://www.ncbi.nlm.nih.gov/pubmed/21457263,http://www.ncbi.nlm.nih.gov/pubmed/20833991,http://www.ncbi.nlm.nih.gov/pubmed/21421296,http://www.ncbi.nlm.nih.gov/pubmed/20580779,http://www.ncbi.nlm.nih.gov/pubmed/18424600,http://www.ncbi.nlm.nih.gov/pubmed/12805245,http://www.ncbi.nlm.nih.gov/pubmed/12791613,http://www.ncbi.nlm.nih.gov/pubmed/12399271,http://www.ncbi.nlm.nih.gov/pubmed/11925464,http://www.ncbi.nlm.nih.gov/pubmed/19394473,http://www.ncbi.nlm.nih.gov/pubmed/17125536,http://www.ncbi.nlm.nih.gov/pubmed/16140880
amaranth,,3,cholesterol ,cardio ,grain / pulse,,1581,0,101,,The bulk of the research has been in animal studies.  The Amaranth grain does contain potentially beneficial medicinal compound in varying amounts. Results: inconclusive.,,,"2012: Although the great majority of the research about the beneficial functions and actions of amaranth has been conducted in experimental animal models, there are compounds in the grain with potentially beneficial medicinal properties present in the various fractions. 2009: Conclusion: results positive but cannot be attributed to amaranth alone.    ",,,http://www.ncbi.nlm.nih.gov/pubmed/22515252,,,,,,,Caselato-Sousa and Amaya-Farfán 2012 ,,http://www.ncbi.nlm.nih.gov/pubmed/22435521,http://www.ncbi.nlm.nih.gov/pubmed/17313043,,animal studies:,http://www.jnutbio.com/article/S0955-2863%2804%2900114-7/abstract,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1779269/?tool=pmcentrez,http://www.ncbi.nlm.nih.gov/pubmed/16508256,http://www.ncbi.nlm.nih.gov/pubmed/12690910,http://www.sciencedirect.com/science/article/pii/S0308814609003161,,,
amla berry,"aamla berry, Indian gooseberry, Phyllanthus emblica",1,oxidative stress in people with kidney failure,"general health, urinary",fruit,OTW,871,1,27,,"Patients with uremia (a side effect of kidney failure) benefited slightly from a 4-month amla-berry supplement for 4 months (changed one sign of cell damage in the blood). But no significant differences were observed in liver function, kidney function, diabetic and cardiovascular risk..",,,"2009: In patients with uremia (a side effect of kidney failure), supplementation with amla extract for 4 months reduced one blood marker of oxidative stress and increased total antioxidant status of the blood. But there were no significant differences observed in liver function, kidney function, diabetic index and cardiovascular risk factors.",,,http://www.ncbi.nlm.nih.gov/pubmed/19222108,,100%,,,1,1,Chen et al 2009,,,,,,,,,,,,,
anise,star anise,1,period pain,women,herb / spice,OTW,1944,1,160,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/19720342,,,,,1,,Nahid et al 2009,,,,,,,,,,,,,
apple cider vinegar,,1,"weight loss, diabetes","weight control, diabetes",plant extract,,2419,4,79,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/16015276,,40%,,,4,,Ostman et al 2005,,http://www.ncbi.nlm.nih.gov/pubmed/19630216,http://www.ncbi.nlm.nih.gov/pubmed/18093343,http://www.ncbi.nlm.nih.gov/pubmed/19963157,http://www.aafp.org/afp/2004/1101/p1731.html,,,,,,,,
apples,,3,many conditions,general health,fruit,,38341,3,701,,"Beneficial effects on cancer risk, cardiovascular disease, asthma, and Alzheimer's disease. Compounds called ""polyphenols"" may positively influence on levels of fat in the blood and blood pressure. Some apple varieties may be better than others. However, firm conclusions cannot be drawn. ",,,"2011: Beneficial effects on risk, markers, and etiology of cancer, cardiovascular disease, asthma, and Alzheimer's disease. 2010: Polyphenols in apples may have a positive influence on blood lipid parameters and blood pressure in humans. However, firm conclusions cannot be made. Apple polyphenolics' are extracted from the peels and then concentrated for usage in supplements, and benefits seen with isolated phenolics may not apply to moderate fruit consumption. 2004: Apples may play a large role in reducing the risk of a wide variety of chronic disease. 2012: the effects may differ by variety. 

",,http://onlinelibrary.wiley.com/doi/10.1111/j.1467-3010.2010.01822.x/abstract?,http://www.ncbi.nlm.nih.gov/pubmed/22980816,,,1,2011,3,,Boyer and Liu 2004,,http://www.ncbi.nlm.nih.gov/pubmed/22332082,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC442131/?tool=pubmed,,,,,,,,,
artichoke,,1,digestion,digestion,vegetable,OTW,2332,1,171,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/22010973,,,,,1,,Valussi 2012,,,,,,,,,,,,,
asparagus,,1,cancer prevention,cancer,vegetable,OTW,7085,2,187,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/20709209,,,,,2,,Gullett et al 2010,,http://www.ncbi.nlm.nih.gov/pubmed/15080623,,,,,,,,,,,
aubergine,,0,cholesterol,cardio,vegetable,,3110,4,103,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/15073652,,0%,,,4,,Praça et al 2004,,http://www.ncbi.nlm.nih.gov/pubmed/10973133,http://www.ncbi.nlm.nih.gov/pubmed/15207376,http://www.ncbi.nlm.nih.gov/pubmed/15640898,,,,,,,,,
avocado,,1,cancer prevention,cancer,fruit,OTW,9844,2,185,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/17582784,,,,,2,,Ding et al 2006,,http://www.ncbi.nlm.nih.gov/pubmed/22070054,,,,,,,,,,,
